uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
return-on-investment,Return on Investment,ROI|ROI|Profitability,,A measure evaluating the financial return of an investment relative to its cost.,operations,,Source: product-management-glossary.md,
revenue-attributed-to-marketing,Revenue Attributed To Marketing,RAM|Marketing-Attributed Revenue|Marketing Revenue|Marketing Revenue Contribution|Attributed Sales,,"The total revenue amount directly linked to marketing activities and campaigns through attribution modeling, representing marketing's measurable contribution to business income.",marketing-seo,,Source: marketing-terms-glossary.md,
revenue-expansion-rate,Revenue Expansion Rate,RER|Expansion Revenue Rate|Growth From Existing|Customer Revenue Growth|Account Expansion Rate,,"The percentage increase in revenue generated from existing customer base through upsells, cross-sells, and upgrades, excluding revenue from new customer acquisition.",marketing-seo,,Source: marketing-terms-glossary.md,
revenue-model,Revenue Model,Income model|Monetization strategy|Business model|Earnings structure,,"The strategy and method by which a company generates income from its operations, products, or services.",strategy-planning,,Source: business-plan-glossary.md,
revenue-per-available-unit,Revenue Per Available Unit,RevPAU|Revenue Per Unit|Unit Revenue|Average Unit Income,,"A performance metric that measures the average rental income generated per unit regardless of occupancy, calculated by dividing total rental revenue by total units.",strategy-planning,,Source: retail-property-glossary.md,
revenue-per-lead,Revenue Per Lead,RPL|Lead Revenue Value|Average Lead Revenue|Lead Revenue Average|Per-Lead Value,,"The average revenue generated from each captured lead regardless of conversion status, calculated by dividing total revenue by total leads captured over the same period.",marketing-seo,,Source: marketing-terms-glossary.md,
review-count,Review Count,RC|Total Reviews|Review Volume|Review Quantity|Customer Review Count,,"The total number of customer reviews received across all platforms including Google, Facebook, industry-specific sites, measuring reputation accumulation and customer engagement.",marketing-seo,,Source: marketing-terms-glossary.md,
review-frequency,Review Frequency,,,,operations,,Source: process-management-glossary.md,
review-response-rate,Review Response Rate,RRR|Response Rate|Review Reply Rate|Review Engagement Rate|Reply Percentage,,"The percentage of customer reviews that receive a response from the business, calculated by dividing responded reviews by total reviews and multiplying by 100, demonstrating engagement and customer care.",marketing-seo,,Source: marketing-terms-glossary.md,
roadmap-planning,Roadmap Planning,Planning,,"The activity of defining, scheduling, and communicating product development goals and priorities.",strategy-planning,,Source: product-management-glossary.md,
robotstxt,Robots.txt,Robots file|Crawler instructions,,A text file that tells search engine crawlers which pages or sections of your website they should or shouldn't crawl and index.,marketing-seo,,Source: seo-glossary.md,
runbook,Runbook,,,"A detailed operational manual for maintaining, monitoring, and troubleshooting specific systems or services, typically used in IT operations.",operations,,Source: process-management-glossary.md,
runway,Runway,,,"The amount of time a startup can operate before depleting its cash reserves, based on current burn rate.",strategy-planning,,Source: lean-startup-glossary.md,
saas,SaaS,Software as a Service|Cloud software|Hosted software|On-demand software|Web-based software,,A software distribution model where applications are hosted by a service provider and made available to customers over the internet on a subscription basis.,software-development,,Source: business-plan-glossary.md,
sales-comparison-approach,Sales Comparison Approach,SCA|Comparable Sales Approach|Market Approach|Sales Approach|Comparative Method,,A property valuation method that estimates value by analyzing recent sales of similar properties and making adjustments for differences in features and conditions.,valuation-finance,,Source: retail-property-glossary.md,
sales-cycle-length,Sales Cycle Length,SCL|Sales Timeline|Conversion Duration|Sales Process Duration|Time to Close,,"The average duration measured in days from initial lead capture or first contact to final sale closure, indicating the typical time required to convert a prospect into a customer.",marketing-seo,,Source: marketing-terms-glossary.md,
sales-per-square-foot,Sales Per Square Foot,Sales PSF|Revenue Per Square Foot|Square Foot Productivity|Sales Density,,A retail performance metric that measures a store's productivity by dividing total sales revenue by the retail space square footage.,property-management,,Source: retail-property-glossary.md,
sales-pipeline,Sales Pipeline,,,"The process of converting qualified leads (from marketing funnel) into paying customers, typically structured with stages like Discovery → Proposal → Negotiation → Closed Won/Lost. Managed by sales team, begins at MQL handoff.",marketing-seo,,Source: marketing-terms-glossary.md,
scalability,Scalability,Scalable growth|Growth capacity|Expansion capability|Growth potential|System Scalability|Application Scalability,,"The capacity of a business model, system, or process to handle growing amounts of work or customers in a capable manner without compromising performance.",strategy-planning,,"Source: business-plan-glossary.md, lean-startup-glossary.md, software-dev-glossary.md",
schema,Schema,Database Schema|Data Schema|Data Structure|Database Design,,"The logical structure that defines how data is organized in a database, including tables, fields, relationships, and constraints that govern data storage.",software-development,,Source: data-management-glossary.md,
scrum,Scrum,Scrum Framework|Scrum Methodology|Agile Framework|Sprint-Based Development,,An agile framework for managing software development projects that organizes work into time-boxed iterations called sprints with defined roles and ceremonies.,product-management,,"Source: product-management-glossary.md, software-dev-glossary.md",
search-engine-results-page,Search Engine Results Page,SERP|Results page|Search results|Google results page,,"The page displayed by search engines in response to a user's query, showing organic results plus various features like ads, featured snippets, and local packs.",marketing-seo,,Source: seo-glossary.md,
search-impression-share,Search Impression Share,SIS|Impression Share|Search Share|Share of Search|Search Presence Share,,"The percentage of times a website appears in search results compared to total possible impressions for tracked keywords, indicating potential reach and opportunity capture.",marketing-seo,,Source: marketing-terms-glossary.md,
search-visibility,Search Visibility,SERP visibility|Search presence,,"A comprehensive metric measuring how often your website appears in search results across target keywords, providing a holistic view of search presence.",marketing-seo,,Source: seo-glossary.md,
security,Security,Sec|Cybersecurity|Information Security|Protection|Cybersecurity,,"The practice of protecting software systems, data, and users from unauthorized access, threats, and vulnerabilities through various defensive measures.",platform-services,,Source: software-dev-glossary.md,
security-deposit,Security Deposit,Damage Deposit|Rental Deposit|Bond|Tenant Deposit,,"A refundable amount paid by tenants at lease signing to protect landlords against property damage or unpaid rent, typically equal to one or two months' rent.",property-management,,Source: retail-property-glossary.md,
semantic-keywords,Semantic Keywords,LSI|LSI keywords|Related keywords|Contextual keywords,,"Keywords and phrases semantically related to your main topic, helping search engines understand content context without keyword stuffing.",marketing-seo,,Source: seo-glossary.md,
semantic-search,Semantic Search,Contextual Search|Meaning-Based Search|Intelligent Search|Context Search,,"A search technique that understands the meaning and context of queries rather than just matching keywords, providing more relevant and accurate results.",ai-machine-learning,,Source: ai-glossary.md,
sentiment-analysis,Sentiment Analysis,Opinion Mining|Emotion Detection|Mood Analysis|Attitude Detection,,"AI technique that analyzes text to determine emotional tone, opinions, or attitudes expressed in written content, commonly used for customer feedback and social media monitoring.",ai-machine-learning,,Source: ai-glossary.md,
service-area-business,Service Area Business,SAB|Mobile business|At-home service business,,"Businesses that travel to customers rather than having them visit a physical location, requiring different local SEO strategies for service area optimization.",marketing-seo,,Source: seo-glossary.md,
service-as-a-product,Service as a Product,SaaP|Service as Product|Productized Service|Product-Service Hybrid|Service Productization,,"A business model where services are packaged, standardized, and delivered like traditional products with defined features and pricing.",strategy-planning,,Source: service-as-product-glossary.md,
service-blueprint,Service Blueprint,SB|Service Map|Service Process Map|Service Flow Diagram,,"A detailed visualization that maps out the service delivery process, including customer actions, frontstage and backstage activities.",service-design,,Source: service-as-product-glossary.md,
service-composition,Service Composition,SC|Service Orchestration|Service Integration|Composite Services,,"The process of combining multiple individual services to create more complex, value-added service offerings.",service-design,,Source: service-as-product-glossary.md,
service-contract,Service Contract,Service Agreement|Service Level Agreement|Service Specification,,"A formal agreement that defines the terms, conditions, and specifications for service delivery between provider and consumer.",service-design,,Source: service-as-product-glossary.md,
service-delivery-platform,Service Delivery Platform,SDP|Service Platform|Service Infrastructure|Delivery Infrastructure,,A comprehensive infrastructure that enables the consistent and efficient delivery of services across multiple channels and touchpoints.,service-design,,Source: service-as-product-glossary.md,
service-design-thinking,Service Design Thinking,SDT|Design Thinking for Services|Human-Centered Service Design|Service Innovation Method,,A human-centered approach to service innovation that combines creative and analytical methods to understand user needs and create solutions.,service-design,,Source: service-as-product-glossary.md,
service-ecosystem,Service Ecosystem,SE|Service Environment|Service Network|Value Network,,"The network of interconnected stakeholders, technologies, and processes that collectively enable service delivery and value creation.",service-design,,Source: service-as-product-glossary.md,
service-level-agreement,Service Level Agreement,SLA|Service Level Contract|Performance Agreement|Service Guarantee,,"A formal contract that defines the expected level of service between a service provider and customer, including performance metrics.",service-design,,Source: service-as-product-glossary.md,
service-monetization,Service Monetization,SM|Service Revenue Model|Service Revenue Generation|Value Monetization,,The process of generating revenue from services through various pricing models and value proposition strategies.,strategy-planning,,Source: service-as-product-glossary.md,
service-orchestration,Service Orchestration,SO|Process Orchestration|Service Coordination|Workflow Management,,The automated coordination and management of multiple services to deliver complex business processes and workflows.,service-design,,Source: service-as-product-glossary.md,
service-portfolio,Service Portfolio,SP|Service Catalog|Service Offering|Service Suite,,"The complete collection of services offered by an organization, managed as a strategic asset to deliver value to customers.",service-design,,Source: service-as-product-glossary.md,
service-roadmap,Service Roadmap,SR|Service Development Plan|Service Evolution Plan|Service Strategy Map,,A strategic planning document that outlines the planned evolution and development of services over time to achieve business objectives.,service-design,,Source: service-as-product-glossary.md,
service-standardization,Service Standardization,SS|Service Normalization|Service Uniformity|Process Standardization,,"The process of establishing uniform specifications, processes, and quality standards across service delivery to ensure consistency.",operations,,Source: service-as-product-glossary.md,
service-transformation,Service Transformation,ST|Service Modernization|Service Redesign|Service Evolution,,"The comprehensive redesign and modernization of service delivery capabilities to improve efficiency, quality, and customer value.",operations,,Source: service-as-product-glossary.md,
service-virtualization,Service Virtualization,SV|Service Simulation|Service Mocking|Virtual Services,,The simulation of service behavior and dependencies to enable testing and development without requiring the actual service infrastructure.,software-development,,Source: service-as-product-glossary.md,
technical-foundation,Setup,Technical Foundation,,"The technical stage where the client's sub-account is created, industry base snapshot deployed, and initial configuration completed. Foundation for all subsequent implementation work.",service-design,,Source: marketing-terms-glossary.md,
setup,Setup,Initial Setup|Account Setup|Technical Setup|Configuration|Initialization,,"Initial one-time configurations performed at the start of implementation. Setup tasks are foundational and must be completed before other implementation work can proceed. Examples include DNS configuration, email domain verification, and payment gateway connection.",software-development,,Source: sc-approved-terminology.md,
shopping-mall,Shopping Mall,Regional Mall|Retail Mall|Shopping Center|Retail Complex,,"A large enclosed retail complex containing multiple stores, restaurants, and services, typically anchored by department stores and featuring common areas and parking.",property-management,,Source: retail-property-glossary.md,
single-family-rental,Single Family Rental,SFR|Single Family Home Rental|Detached House Rental|Single Home Rental,,A residential property consisting of a single detached house that is rented to tenants rather than owner-occupied.,property-management,,Source: retail-property-glossary.md,
smart-building-technology,Smart Building Technology,Building Automation|Smart Systems|Intelligent Building Technology|Automated Building Systems,,"Integrated systems that use sensors, automation, and data analytics to optimize building operations, energy efficiency, and occupant comfort.",software-development,,Source: retail-property-glossary.md,
sms-response-rate,SMS Response Rate,SRR|Text Response Rate|SMS Engagement Rate|Message Response Rate|Text Reply Rate,,"The percentage of text message recipients who reply to or engage with SMS communications, calculated by dividing responses by total messages delivered and multiplying by 100, primarily used in US markets.",marketing-seo,,Source: marketing-terms-glossary.md,
snapshot,Snapshot,GHL Snapshot|Account Snapshot|Template Snapshot|Template|Pre-built Configuration,,"A pre-configured GHL sub-account template containing standardized workflows, automations, custom values, and settings. Snapshots enable rapid deployment of proven configurations to new client accounts. Symphony Core's primary snapshot is the Small Business Snapshot.",software-development,,Source: sc-approved-terminology.md,
software-as-a-service,Software-as-a-Service,SaaS|Software as a Service|Cloud Software|Web-Based Software,,A cloud-based service model that delivers software applications over the internet on a subscription basis without local installation.,platform-services,,Source: service-as-product-glossary.md,
software-development-life-cycle,Software Development Life Cycle,SDLC|Development Process|Software Lifecycle,,"A structured process for planning, creating, testing, and deploying software applications through defined phases from conception to maintenance.",operations,,Source: software-dev-glossary.md,
speech-recognition,Speech Recognition,ASR|STT|Automatic Speech Recognition|Speech-to-Text|Voice Recognition|Audio Transcription,,"AI technology that converts spoken language into text, enabling voice-controlled applications and interfaces through automatic speech recognition systems.",ai-machine-learning,,Source: ai-glossary.md,
sprint,Sprint,Iteration|Development Cycle,,A timeboxed iteration in Scrum for completing a set of backlog items.,product-management,,Source: product-management-glossary.md,
sql,SQL,Structured Query Language|Database Language|Query Language,,"A standardized programming language designed for managing and manipulating relational databases, including querying, updating, and organizing data.",software-development,,"Source: data-management-glossary.md, software-dev-glossary.md",
sales-qualified-lead,SQL,Sales Qualified Lead,,"An MQL that sales has reviewed, contacted, and confirmed as a good fit worth actively pursuing. Sales has accepted the lead and is working the opportunity.",marketing-seo,,Source: marketing-terms-glossary.md,
stage-conversion-rates,Stage Conversion Rates,SCR|Stage Progression Rate|Stage Success Rate|Stage Advancement Rate|Pipeline Progression,,"The percentage of opportunities that successfully advance from one pipeline stage to the next, calculated individually for each stage transition to identify bottlenecks and optimize sales process.",marketing-seo,,Source: marketing-terms-glossary.md,
stakeholder,Stakeholder,Sponsor|Interested Party,,An individual or group with an interest or influence in the product or project.,operations,,Source: product-management-glossary.md,
standard-operating-procedure,Standard Operating Procedure,SOP|Operating procedure|Process documentation|Work instructions|Process guidelines,,"A detailed, step-by-step instruction document that specifies exactly how to perform a routine operational task, including specific tools and systems.",,,"Source: business-plan-glossary.md, process-management-glossary.md",
star-schema,Star Schema,Star Model|Dimensional Star|Fact-Dimension Model|Analytical Schema,,"A dimensional modeling approach where a central fact table is connected to multiple dimension tables, resembling a star shape for optimized analytical queries.",ai-machine-learning,,Source: data-management-glossary.md,
startup,Startup,New Venture,,"An early-stage company focused on a repeatable, scalable business model and high growth potential.",strategy-planning,,Source: lean-startup-glossary.md,
story-points,Story Points,Effort Points,,A measure of effort required to implement a user story in Agile development.,product-management,,Source: product-management-glossary.md,
strategic-partnership,Strategic Partnership,Business alliance|Strategic alliance|Partnership agreement|Collaborative venture,,"A formal alliance between businesses aimed at mutual benefit through shared resources, integration, or go-to-market strategies.",strategy-planning,,Source: business-plan-glossary.md,
strategy,Strategy,Plan,,A high-level plan to achieve specific business or product goals.,strategy-planning,,Source: product-management-glossary.md,
stream-processing,Stream Processing,Data Streaming|Real-time Streaming|Continuous Processing|Flow Processing,,"A data processing paradigm that handles continuous flows of data in real-time, enabling immediate analysis and response to data as it arrives.",data-management,,Source: data-management-glossary.md,
strip-center,Strip Center,Strip Mall|Neighborhood Center|Strip Plaza|Retail Strip,,"A small retail development consisting of a row of connected stores with shared parking, typically anchored by a grocery store or pharmacy.",property-management,,Source: retail-property-glossary.md,
structured-data,Structured Data,Formatted Data|Organized Data|Tabular Data|Relational Data,,"Data that is organized in a predefined format with a clear schema, typically stored in relational databases with rows and columns.",data-management,,Source: data-management-glossary.md,
sub-account,Sub-Account,Client Account|GHL Sub-Account|Client Workspace|Location,,"An individual client workspace within the GoHighLevel platform. Each client receives their own sub-account, which is created by applying a snapshot and then customized during implementation. Sub-accounts are managed under the Symphony Core agency account.",platform-services,,Source: sc-approved-terminology.md,
subscription-model,Subscription Model,Recurring revenue model|Subscription business|Membership model|Recurring payment model|SM|Subscription Service|Recurring Billing,,A business model where customers pay recurring fees to access services or products for a specified period rather than one-time purchases.,strategy-planning,,"Source: business-plan-glossary.md, service-as-product-glossary.md",
supervised-learning,Supervised Learning,Supervised Machine Learning|Labeled Learning|Guided Learning,,A machine learning approach that trains models using labeled data where both input and correct output examples are provided during the learning process.,ai-machine-learning,,Source: ai-glossary.md,
sweat-equity,Sweat Equity,,,The value contributed to a startup through the time and effort of founders and employees rather than cash investment.,strategy-planning,,Source: lean-startup-glossary.md,
swot-analysis,SWOT Analysis,SWOT|Situational analysis|Strategic assessment|Business analysis,,"A strategic planning technique used to evaluate the Strengths, Weaknesses, Opportunities, and Threats involved in a project or business venture.",strategy-planning,,Source: business-plan-glossary.md,
systems-as-a-service,Systems as a Service,Integrated service model|Turnkey solution|Complete solution service|End-to-end service,,"A business model where software, services, automation, and strategic guidance are bundled into a comprehensive, done-for-you offering.",strategy-planning,,Source: business-plan-glossary.md,
target-market,Target Market,Target audience|Market segment|Customer base|Market focus,,"A specific group of consumers at which a company aims its products and services, defined by demographics, behaviors, and other characteristics.",marketing-seo,,Source: business-plan-glossary.md,
task-completion-rate,Task Completion Rate,TCR|Task Success Rate|Completion Percentage|Task Execution Rate|Action Item Completion,,"The percentage of assigned tasks or action items that are completed by the due date, calculated by dividing completed tasks by total assigned tasks and multiplying by 100.",operations,,Source: marketing-terms-glossary.md,
technical-debt,Technical Debt,Code Debt|Design Debt|Development Debt|Maintenance Burden,,The implied cost of additional work caused by choosing quick solutions over better approaches that would take longer to implement initially.,software-development,,Source: software-dev-glossary.md,
template,Template,,,A pre-formatted document structure that provides a consistent starting point for creating similar documents.,operations,,Source: process-management-glossary.md,
tenant-improvement-allowance,Tenant Improvement Allowance,TI|TIA|Build-Out Allowance|Improvement Allowance|Construction Allowance|Fit-Out Allowance,,"A monetary contribution provided by landlords to tenants for customizing or improving leased space to meet specific business needs. Tenant improvement allowances are typically calculated per square foot and help attract tenants by reducing their upfront costs, with any excess costs above the allowance paid by the tenant.",leasing-tenancy,,Source: retail-property-glossary.md,
tenant-improvements,Tenant Improvements,TI|Leasehold Improvements|Build-Out|Tenant Build-Out|Space Improvements,,"Physical modifications or enhancements made to rental space to meet the specific needs of a tenant, often negotiated as part of lease agreements.",leasing-tenancy,,Source: retail-property-glossary.md,
tenant-mix,Tenant Mix,Retailer Mix|Store Mix|Merchant Mix|Retail Composition|Retail Mix|Business Mix|Tenant Composition,,"The strategic combination and arrangement of different types of retailers and service providers within a shopping center to maximize foot traffic, sales, and overall property performance. Effective tenant mix creates synergies between complementary businesses and provides customers with a comprehensive shopping and service experience.",property-management,,Source: retail-property-glossary.md,
tenant-portal,Tenant Portal,Resident Portal|Online Tenant Platform|Tenant Platform|Resident Portal,,"An online platform that provides tenants with access to account information, rent payment options, maintenance requests, and communication with property management.",software-development,,Source: retail-property-glossary.md,
tenant-relations,Tenant Relations,Tenant Services|Resident Relations|Tenant Management|Resident Services,,"The ongoing management of relationships between property owners or managers and tenants, focusing on communication, satisfaction, and conflict resolution.",property-management,,Source: retail-property-glossary.md,
tenant-screening,Tenant Screening,Applicant Screening|Tenant Evaluation|Tenant Vetting|Applicant Assessment,,"The comprehensive process of evaluating prospective tenants through credit checks, background verification, employment confirmation, and reference checks.",property-management,,Source: retail-property-glossary.md,
term-relationships,Term Relationships,,,``` Client Onboarding (umbrella process) ├── Setup (initial configurations) ├── Implementation (technical work) │   ├── Snapshot deployment │   └── Sub-account customization └── Go-Live (completion milestone) ```,,,Source: sc-approved-terminology.md,
testing,Testing,Software Testing|Quality Testing|Verification|Quality Assurance,,"The process of evaluating and verifying software functionality, performance, and quality to identify defects and ensure requirements are met.",software-development,,Source: software-dev-glossary.md,
text-to-speech,Text-to-Speech,TTS|Text-to-Speech Synthesis|Voice Synthesis|Speech Synthesis|Audio Generation,,"AI technology that converts written text into spoken audio, enabling applications to communicate through synthesized voice output.",ai-machine-learning,,Source: ai-glossary.md,
third-normal-form,Third Normal Form,3NF|3NF|Advanced Normalization,,"A database normalization level where tables are in second normal form and all non-key attributes depend only on the primary key, eliminating transitive dependencies.",data-management,,Source: data-management-glossary.md,
time-from-lead-to-appointment,Time From Lead to Appointment,TFLA|L2A Time|Lead-to-Appointment Time|Booking Timeline|Appointment Scheduling Duration|Lead Processing Time,,"The average duration measured in hours or days from initial lead capture to successful scheduling of the first appointment, indicating speed of engagement and qualification efficiency.",marketing-seo,,Source: marketing-terms-glossary.md,
time-on-site,Time On Site,TOS|Session Duration|Visit Length|Average Session Duration|Time Per Visit,,"The average duration visitors spend on the website during sessions originating from organic search, measured in minutes and seconds, indicating content engagement and relevance.",marketing-seo,,Source: marketing-terms-glossary.md,
time-series-data,Time Series Data,Temporal Data|Chronological Data|Time-Ordered Data|Sequential Data,,"Data that is collected and organized chronologically, representing changes over time and enabling trend analysis and temporal pattern recognition.",data-management,,Source: data-management-glossary.md,
time-to-lead-qualification,Time to Lead Qualification,TTLQ|TLQ|Qualification Time|Lead Processing Time|Qualification Duration|Lead Review Time,,The average duration measured in hours or days from initial lead capture to completion of qualification process and assignment of qualified or disqualified status.,marketing-seo,,Source: marketing-terms-glossary.md,
title-tag,Title Tag,Page title|Meta title|Title element,,"The HTML element specifying webpage titles, appearing as clickable headlines in search results and comprising approximately 13% of Google's ranking algorithm.",marketing-seo,,Source: seo-glossary.md,
tofu,TOFU,Top of Funnel|Awareness Stage|Discovery Stage,,"The awareness stage of the marketing funnel where potential customers first discover your brand. Activities focus on broad reach and brand visibility through tactics like content marketing, SEO, social media, and paid advertising.",marketing-seo,,Source: marketing-terms-glossary.md,
tokenization,Tokenization,Text Tokenization|Token Segmentation|Text Segmentation|Word Splitting,,"The process of breaking down text into smaller units (tokens) that AI models can process, such as words, subwords, or characters.",ai-machine-learning,,Source: ai-glossary.md,
total-addressable-market,Total Addressable Market,TAM|Total available market|Market size|Market opportunity,,"The total market demand for a product or service, representing the revenue opportunity available if 100% market share was achieved.",strategy-planning,,Source: business-plan-glossary.md,
total-leads-captured,Total Leads Captured,TLC|Total Leads|Leads Captured|New Leads|Lead Volume|Lead Count|New Contacts,,"The complete count of new prospect contact records added to the CRM system within a specified time period, typically measured monthly or quarterly, representing all individuals who have provided contact information through any marketing channel.",marketing-seo,,Source: marketing-terms-glossary.md,
touchpoint-optimization,Touchpoint Optimization,TPO|Interaction Optimization|Contact Point Improvement|Interface Enhancement,,The systematic improvement of individual customer interaction points to enhance overall service experience and satisfaction.,service-design,,Source: service-as-product-glossary.md,
townhouse,Townhouse,Townhome|Row House|Terraced House|Attached Home,,A multi-story residential unit that shares walls with adjacent units but has its own entrance and often includes a small yard or patio area.,property-management,,Source: retail-property-glossary.md,
traction,Traction,,,Evidence of market demand and customer engagement indicating a startup’s progress and growth momentum.,operations,,Source: lean-startup-glossary.md,
training,Training,Client Enablement,,"The enablement stage where client team members learn to use the Symphony Core system to run their business operations. Covers dashboard usage, THE HUB form, calendar management, and reporting.",service-design,,Source: marketing-terms-glossary.md,
training-data,Training Data,Training Dataset|Learning Data|Educational Data|Learning Examples,,The dataset used to teach AI models by providing examples and patterns that the system learns from to make predictions or generate outputs.,ai-machine-learning,,Source: ai-glossary.md,
transformer,Transformer,Transformer Model|Transformer Architecture|Attention-Based Model|Sequential Processor,,"A neural network architecture that uses attention mechanisms to process sequential data efficiently, forming the foundation of modern language models.",ai-machine-learning,,Source: ai-glossary.md,
triple-net-lease,Triple Net Lease,NNN|Triple Net|Net-Net-Net Lease|Absolute Net Lease|NNN Lease|Full Net Lease|Net Net Net Lease|Triple N Lease,,"A lease structure where tenants pay base rent plus their proportionate share of all three major property expenses: real estate taxes, building insurance, and common area maintenance. Triple net leases transfer most property operating risks to tenants while providing landlords with predictable net income streams.",leasing-tenancy,,Source: retail-property-glossary.md,
trust-flow,Trust Flow,TF|Trust score|Link trust metric,,"A Majestic SEO metric (0-100 scale) measuring the quality and trustworthiness of links pointing to a website, crucial for evaluating link partners.",marketing-seo,,Source: seo-glossary.md,
turnover-rate,Turnover Rate,Tenant Turnover Rate|Vacancy Turnover|Tenant Churn Rate|Replacement Rate,,"The frequency at which tenants vacate and are replaced in a rental property, typically expressed as an annual percentage of total units.",property-management,,Source: retail-property-glossary.md,
unfair-advantage,Unfair Advantage,Competitive Advantage,,"A unique advantage that cannot be easily copied or bought, often a key differentiator for startups.",strategy-planning,,Source: lean-startup-glossary.md,
unit-testing,Unit Testing,Component Testing|Module Testing|Component Testing|Isolated Testing,,A testing method that involves testing individual components or modules of software in isolation to verify they function correctly according to specifications.,software-development,,Source: software-dev-glossary.md,
unstructured-data,Unstructured Data,Non-Structured Data|Free-Form Data|Unorganized Data|Free-Format Data,,"Data that does not have a predefined format or organization, such as text documents, images, videos, and social media content.",data-management,,Source: data-management-glossary.md,
unsubscribe-rate,Unsubscribe Rate,UR|Opt-Out Rate|Unsubscription Rate|Opt-Out Percentage|Email Cancellation Rate,,"The percentage of email recipients who opt out of communications, calculated by dividing unsubscribes by total emails delivered and multiplying by 100, indicating content relevance and list quality.",data-management,,Source: marketing-terms-glossary.md,
unsupervised-learning,Unsupervised Learning,Unsupervised Machine Learning|Pattern Discovery|Autonomous Learning,,"A machine learning approach that finds patterns and structures in data without labeled examples, discovering hidden relationships autonomously.",ai-machine-learning,,Source: ai-glossary.md,
update-triggers,Update Triggers,,,,operations,,Source: process-management-glossary.md,
upsell-cross-sell-rate,Upsell Cross-Sell Rate,UCR|Expansion Rate|Additional Purchase Rate|Revenue Expansion Rate|Growth Rate,,"The percentage of existing customers who purchase additional products, services, or upgraded offerings, calculated by dividing customers with additional purchases by total customers and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
url-structure,URL Structure,URL format|URL path|Web address structure,,"The organization and format of website addresses, including descriptive, keyword-rich paths that improve user experience and click-through rates.",marketing-seo,,Source: seo-glossary.md,
usable-square-footage,Usable Square Footage,USF|Usable Area|Net Usable Area|Occupied Area|Actual Use Area|Net Square Footage|Occupiable Space|Interior Space,,"The area within leased premises that tenants can actually use for their business operations, measured from the inside face of exterior walls and excluding common areas. Usable square footage represents the space tenants physically occupy and use, as distinct from rentable square footage which includes common area allocations.",property-management,,Source: retail-property-glossary.md,
usage-based-pricing,Usage-Based Pricing,UBP|Pay-Per-Use Pricing|Consumption-Based Pricing|Metered Pricing,,A pricing model where customers pay based on their actual consumption or utilization of service resources and capabilities.,strategy-planning,,Source: service-as-product-glossary.md,
user-experience,User Experience,UX|User Experience Design|User Satisfaction|Interaction Design,,"The overall experience and satisfaction a user has when interacting with a software application, including usability, accessibility, and design quality.",software-development,,"Source: lean-startup-glossary.md, software-dev-glossary.md",
user-interface,User Interface,UI|User Interface Design|Graphical User Interface|Interface Design|Visual Interface,,The visual and interactive elements of a software application that users interact with to accomplish tasks and access functionality.,software-development,,Source: software-dev-glossary.md,
user-persona,User Persona,Persona|Buyer Persona,,A detailed archetype representing a target user based on research and data.,marketing-seo,,Source: product-management-glossary.md,
user-story,User Story,Story,,"A short description of a feature from an end-user perspective, outlining their needs and benefits.",product-management,,Source: product-management-glossary.md,
ux,UX,User Experience|User Experience,,The overall experience a user has when interacting with a product or service.,software-development,,Source: product-management-glossary.md,
vacancy-rate,Vacancy Rate,Vacant Percentage|Unleased Rate|Empty Rate|Available Space Percentage|Vacant Rate|Unoccupied Rate|Empty Unit Rate|Availability Rate,,"The percentage of total leasable space that remains unoccupied and available for lease, calculated as vacant square footage divided by total leasable square footage. Vacancy rate is the inverse of occupancy rate and serves as a key indicator of market conditions, property performance, and leasing effectiveness.",property-management,,Source: retail-property-glossary.md,
validation,Validation,,,The process of confirming hypotheses through experiments and customer feedback in the Lean Startup approach.,operations,,Source: lean-startup-glossary.md,
value-proposition,Value Proposition,Unique value proposition|Customer value proposition|Selling proposition|Benefit statement|Unique Selling Proposition (USP),,A business statement that summarizes why a consumer should buy a product or use a service by explaining what benefits they will receive.,marketing-seo,,"Source: business-plan-glossary.md, product-management-glossary.md",
value-proposition-canvas,Value Proposition Canvas,VPC|Value Proposition Design|Customer Value Map|Value Design Canvas,,A strategic tool used to design and analyze the value that services provide to customers by mapping customer needs to service benefits.,strategy-planning,,Source: service-as-product-glossary.md,
vector-database,Vector Database,Vector DB|Vector Store|Embedding Database|Similarity Database|Vector Index,,"A specialized database designed to store, index, and query high-dimensional vector representations of data for AI applications like similarity search and retrieval.",software-development,,Source: ai-glossary.md,
velocity,Velocity,Team Velocity,,"The amount of work a Scrum team completes during a sprint, measured in story points or work items.",product-management,,Source: product-management-glossary.md,
venture-capital,Venture Capital,VC|VC,,Investment funds that provide capital to startups with high growth potential in exchange for equity.,strategy-planning,,Source: lean-startup-glossary.md,
version-control,Version Control,Change Management|Revision Control|Change Tracking|Revision Management|VCS|Version Control System|Source Control,,"A system that tracks and manages changes to data, documents, or code over time, enabling collaboration, change tracking, and rollback capabilities.",operations,,"Source: data-management-glossary.md, software-dev-glossary.md",
viral-coefficient,Viral Coefficient,,,"The number of new users generated by an existing user, indicating potential exponential growth.",operations,,Source: lean-startup-glossary.md,
